trade_date,trade_code,exchange
2024.12.20,HO2412-C-2500,CFE
2024.12.20,HO2412-P-2000,CFE
2024.12.20,HO2412-P-2050,CFE
2024.12.20,HO2412-P-2100,CFE
2024.12.20,HO2412-P-2150,CFE
2024.12.20,IO2412-C-3700,CFE
2024.12.20,HO2412-P-2200,CFE
2024.12.20,HO2412-P-2250,CFE
2024.12.20,HO2412-P-2300,CFE
2024.12.20,HO2412-P-2350,CFE
2024.12.20,HO2412-P-2400,CFE
2024.12.20,HO2412-P-2450,CFE
2024.12.20,HO2412-P-2500,CFE
2024.12.20,IO2412-P-3300,CFE
2024.12.20,IO2412-C-3100,CFE
2024.12.20,IO2412-P-3500,CFE
2024.12.20,IO2412-P-3700,CFE
2024.12.20,IO2412-P-3400,CFE
2024.12.20,IO2412-P-3600,CFE
2024.12.20,HO2412-C-2600,CFE
2024.12.20,MO2412-C-5200,CFE
2024.12.20,MO2412-C-5400,CFE
2024.12.20,MO2412-C-5600,CFE
2024.12.20,MO2412-C-5800,CFE
2024.12.20,MO2412-C-6000,CFE
2024.12.20,MO2412-C-6200,CFE
2024.12.20,HO2412-P-2600,CFE
2024.12.20,MO2412-C-6400,CFE
2024.12.20,MO2412-C-6600,CFE
2024.12.20,MO2412-P-5200,CFE
2024.12.20,MO2412-P-5400,CFE
2024.12.20,MO2412-P-5600,CFE
2024.12.20,MO2412-P-5800,CFE
2024.12.20,MO2412-P-6000,CFE
2024.12.20,MO2412-P-6200,CFE
2024.12.20,MO2412-P-6400,CFE
2024.12.20,MO2412-P-6600,CFE
2024.12.20,IO2412-P-3800,CFE
2024.12.20,IO2412-P-3200,CFE
2024.12.20,IO2412-C-3200,CFE
2024.12.20,IO2412-C-3300,CFE
2024.12.20,IO2412-C-3400,CFE
2024.12.20,IO2412-C-3800,CFE
2024.12.20,MO2412-P-5000,CFE
2024.12.20,MO2412-C-5000,CFE
2024.09.20,IO2409-P-2900,CFE
2024.09.20,IO2409-C-2900,CFE
2024.12.20,IO2412-P-2900,CFE
2024.12.20,IO2412-C-2900,CFE
2024.09.20,IO2409-P-3000,CFE
2024.09.20,MO2409-C-4900,CFE
2024.09.20,MO2409-P-4900,CFE
2024.12.20,MO2412-C-4900,CFE
2024.12.20,MO2412-P-4900,CFE
2024.09.20,IO2409-C-3000,CFE
2024.09.20,HO2409-C-2050,CFE
2024.09.20,HO2409-P-2050,CFE
2024.12.20,HO2412-C-1950,CFE
2024.09.20,MO2409-P-4800,CFE
2024.09.20,HO2409-C-1950,CFE
2024.12.20,HO2412-P-1950,CFE
2024.12.20,MO2412-C-4800,CFE
2024.09.20,HO2409-P-1950,CFE
2024.12.20,MO2412-P-4800,CFE
2024.09.20,MO2409-C-4800,CFE
2024.12.20,MO2412-P-4700,CFE
2024.12.20,MO2412-C-4700,CFE
2024.09.20,MO2409-C-4700,CFE
2024.09.20,MO2409-P-4700,CFE
2024.09.20,MO2409-C-4600,CFE
2024.09.20,MO2409-P-4500,CFE
2024.12.20,MO2412-P-4600,CFE
2024.12.20,IO2412-P-2800,CFE
2024.12.20,MO2412-C-4600,CFE
2024.09.20,MO2409-C-4500,CFE
2024.09.20,MO2409-P-4600,CFE
2024.09.20,IO2409-P-2800,CFE
2024.12.20,MO2412-P-4500,CFE
2024.12.20,MO2412-C-4500,CFE
2024.09.20,IO2409-C-2800,CFE
2024.12.20,IO2412-C-2800,CFE
2024.12.20,MO2412-P-4400,CFE
2024.09.20,MO2409-C-4400,CFE
2024.12.20,MO2412-C-4400,CFE
2024.09.20,MO2409-P-4400,CFE
2024.09.20,MO2409-C-4300,CFE
2024.12.20,MO2412-C-4300,CFE
2024.12.20,MO2412-P-4300,CFE
2024.09.20,MO2409-P-4300,CFE
2024.12.20,MO2412-C-4200,CFE
2024.12.20,MO2412-P-4200,CFE
2024.09.20,MO2409-P-4200,CFE
2024.09.20,MO2409-C-4200,CFE
2024.09.20,MO2409-C-4100,CFE
2024.09.20,MO2409-P-4100,CFE
2024.12.20,MO2412-C-4100,CFE
2024.12.20,MO2412-P-4100,CFE
2024.12.20,MO2412-P-3800,CFE
2024.09.20,MO2409-P-4000,CFE
2024.12.20,MO2412-C-3900,CFE
2024.09.20,MO2409-P-3800,CFE
2024.12.20,MO2412-P-3900,CFE
2024.09.20,MO2409-C-3800,CFE
2024.09.20,MO2409-P-3900,CFE
2024.09.20,MO2409-C-3900,CFE
